Feature,Normalized.Dispersion
ENSG00000243485,nan
ENSG00000238009,3.05635065442942
ENSG00000241860,-0.18184247477255835
ENSG00000286448,1.2514479414037738
ENSG00000237491,-0.37189888953827527
ENSG00000177757,-0.7440492641722251
ENSG00000228794,0.2068711578382809
ENSG00000225880,1.9044373167528466
ENSG00000230368,-0.25890810887339927
ENSG00000272438,7.338537270699199
ENSG00000230699,nan
ENSG00000223764,-0.8649334734332385
ENSG00000187634,-0.6592498912861674
ENSG00000188976,0.25260318526390607
ENSG00000187961,2.5133047075216806
ENSG00000187583,3.0020437900348114
ENSG00000187642,-1.6201027281096207
ENSG00000272512,1.442187710954275
ENSG00000188290,7.041386627002223
ENSG00000187608,15.77205127355158
ENSG00000224969,-0.6840014832691789
ENSG00000188157,7.4921695414182246
ENSG00000273443,nan
ENSG00000131591,-0.8793965369185195
ENSG00000223823,nan
ENSG00000205231,nan
ENSG00000186891,13.803947449948728
ENSG00000186827,21.65271778412566
ENSG00000078808,-0.2602796385610015
ENSG00000176022,-0.9632311609418844
ENSG00000184163,2.9181857433002936
ENSG00000260179,1.5973419750855176
ENSG00000160087,-0.32729887553192133
ENSG00000162572,0.5504454825966743
ENSG00000131584,8.0589241063814
ENSG00000169972,-1.617394167703273
ENSG00000127054,0.4393708690122
ENSG00000224051,-1.8978839710561208
ENSG00000169962,nan
ENSG00000107404,-0.8725439364786689
ENSG00000162576,3.1794533969516743
ENSG00000175756,-0.5355934755935206
ENSG00000221978,3.8621668153539175
ENSG00000224870,-1.384437677509542
ENSG00000242485,-1.5832841699417846
ENSG00000272455,7.902643438940528
ENSG00000235098,1.289257928387544
ENSG00000225905,-0.7514528237009092
ENSG00000205116,0.6520190657378527
ENSG00000225285,-1.5215559346337153
ENSG00000179403,2.588081507000733
ENSG00000215915,-0.08651508358210329
ENSG00000160072,4.487965026928152
ENSG00000197785,2.4729029319809546
ENSG00000205090,-0.7527125898821873
ENSG00000160075,-1.1972087480553557
ENSG00000215014,4.656812755744269
ENSG00000228594,-0.8784041535765225
ENSG00000286989,nan
ENSG00000272106,-1.3615148995877564
ENSG00000197530,0.536984542708323
ENSG00000189409,-0.8889577430784885
ENSG00000248333,0.6391372540045482
ENSG00000272004,-0.11555738505257021
ENSG00000189339,-0.07167565325582147
ENSG00000008128,1.672207016221003
ENSG00000215790,-1.1373580263781875
ENSG00000008130,-0.5555404189515922
ENSG00000078369,0.1907540146284846
ENSG00000231050,-1.373825426849263
ENSG00000169885,-2.0890847807991584
ENSG00000178821,13.33974506285962
ENSG00000142609,0.9738716890897904
ENSG00000187730,5.913198235363184
ENSG00000067606,0.27530178992785054
ENSG00000182873,7.364303296418248
ENSG00000162585,-0.4576602143676741
ENSG00000157933,-0.9756428533780479
ENSG00000287356,-1.7589419475500179
ENSG00000116151,1.7276656092234985
ENSG00000272161,nan
ENSG00000272420,-2.7029482570165317
ENSG00000157916,-1.5661551876544504
ENSG00000157911,-1.0027724194919565
ENSG00000149527,2.6262397136593525
ENSG00000229393,nan
ENSG00000157881,-0.1974172677571965
ENSG00000197921,-0.7210138055562806
ENSG00000272449,1.779438901889857
ENSG00000238164,-0.5878329401893976
ENSG00000157873,5.118765445767864
ENSG00000228037,3.8247292652528055
ENSG00000157870,4.281566353279292
ENSG00000142606,0.5116863816110637
ENSG00000237058,nan
ENSG00000215912,25.695694571968904
ENSG00000177133,-1.5375709182986141
ENSG00000142611,-1.4775365319296687
ENSG00000287828,-1.4640962858198636
ENSG00000286518,-0.7996577442256363
ENSG00000130762,-0.7707120859237517
ENSG00000162591,-0.4007115290963576
ENSG00000238260,0.6326238542368435
ENSG00000158109,0.30738923990256883
ENSG00000116213,-1.0691642292087156
ENSG00000078900,1.9365431082506992
ENSG00000227589,nan
ENSG00000235169,-0.09572946443306136
ENSG00000130764,-0.934194801234225
ENSG00000272153,nan
ENSG00000116198,-0.2331442955071883
ENSG00000169598,0.4806958593358199
ENSG00000198912,-1.3951158970509414
ENSG00000236423,0.7602997958543264
ENSG00000196581,-0.7522837956143307
ENSG00000236948,nan
ENSG00000131697,1.4491425612843107
ENSG00000069424,3.2133722137118297
ENSG00000116254,-0.11171864617715829
ENSG00000116251,-1.1356050151287833
ENSG00000226944,-0.4355047873555668
ENSG00000158286,4.337979525033091
ENSG00000116237,-1.3016593368275655
ENSG00000225077,2.5985178630255943
ENSG00000158292,0.36618516821642855
ENSG00000097021,0.3520986235459721
ENSG00000271746,-0.8654935459075825
ENSG00000069812,-0.0958864964082257
ENSG00000187017,-0.14293915119677178
ENSG00000215788,3.3721022243967873
ENSG00000171680,0.28084716743108135
ENSG00000162408,0.22103209563086587
ENSG00000173662,-0.5848405360730307
ENSG00000204859,-0.8163903581502524
ENSG00000162413,0.31827805414206317
ENSG00000116273,-0.8883749129330148
ENSG00000041988,-0.9303666234542188
ENSG00000007923,-1.0756477260271413
ENSG00000237436,-0.5928229287118911
ENSG00000171735,-0.48471998849985676
ENSG00000237402,nan
ENSG00000237728,nan
ENSG00000225126,-1.54256191846373
ENSG00000270171,nan
ENSG00000270035,nan
ENSG00000049245,-0.42833338099425844
ENSG00000269925,1.933262061872919
ENSG00000049246,2.5965060395033195
ENSG00000236266,6.734140863700649
ENSG00000049247,8.410154409070694
ENSG00000049249,5.752800964595562
ENSG00000116288,-1.1651796517594193
ENSG00000284747,6.130638765110445
ENSG00000284716,2.1563453674477127
ENSG00000116285,3.774965586446627
ENSG00000238290,4.8220435810132525
ENSG00000227634,nan
ENSG00000233645,nan
ENSG00000162426,-1.8058226896271234
ENSG00000142599,1.4379968637676328
ENSG00000232912,0.3549258717111103
ENSG00000228423,nan
ENSG00000074800,0.017709066539345505
ENSG00000230679,-0.6949380722112373
ENSG00000131686,nan
ENSG00000197241,-2.788754999054597
ENSG00000142583,7.210216575805147
ENSG00000180758,3.513944202084244
ENSG00000228526,1.873653228877815
ENSG00000234546,-0.7417851691310523
ENSG00000049239,0.027915992643358017
ENSG00000171621,1.7849884722935103
ENSG00000284652,3.037743234083272
ENSG00000284693,-0.8492344338151705
ENSG00000171612,0.2629884504305131
ENSG00000188807,0.4283445457790409
ENSG00000171608,2.369737170677336
ENSG00000179840,2.457102321006892
ENSG00000231789,1.7705813867763895
ENSG00000171603,-0.6053781055129661
ENSG00000178585,-0.7974814853151317
ENSG00000223989,-0.38733968122343343
ENSG00000285701,nan
ENSG00000162441,-1.048554526949458
ENSG00000228150,-0.5432018109703757
ENSG00000173614,-1.2424050423810322
ENSG00000162444,2.847941392804934
ENSG00000130939,-0.02404687406692833
ENSG00000054523,0.9739792614113704
ENSG00000284735,nan
ENSG00000284642,1.010206762214538
ENSG00000142657,0.04747424180131823
ENSG00000271989,0.6800335374596886
ENSG00000175279,-1.2899307517965803
ENSG00000241563,-0.1310257173395051
ENSG00000160049,-1.5675839029547864
ENSG00000142655,0.30452528589782096
ENSG00000287727,nan
ENSG00000130940,-0.018519742311852334
ENSG00000272078,nan
ENSG00000120948,0.2443372851807935
ENSG00000009724,0.6669505116653754
ENSG00000271895,0.3029230179886224
ENSG00000116649,-0.889940618163411
