Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000243485,MIR1302-2HG,0.00042081873373225475,-0.4628479810424011,1.0,0.0,0.4628479810424011,1.0
ENSG00000238009,AL627309.1,0.0012624562011967642,-0.8254180604271095,0.8652180564455686,0.0017411412119529457,0.8254180604271095,0.8652180564455686
ENSG00000241860,AL627309.5,0.0010520468343306368,-2.6327729824847133,0.003768481588585344,0.006964564847811783,2.6327729824847133,0.003768481588585344
ENSG00000286448,AP006222.2,0.001683274934929019,0.12211451967875497,1.0,0.0008705706059764729,-0.12211451967875497,1.0
ENSG00000237491,LINC01409,0.08353251864585257,0.9163887968085955,0.011182599706932864,0.04352853029882365,-0.9163887968085955,0.011182599706932864
ENSG00000177757,FAM87B,0.005260234171653185,1.0676667356563776,0.2778488450233701,0.0017411412119529457,-1.0676667356563776,0.2778488450233701
ENSG00000228794,LINC01128,0.17232527146335833,-0.18211157347514906,0.5999895433776286,0.19500781573872994,0.18211157347514906,0.5999895433776286
ENSG00000225880,LINC00115,0.04081941717202871,0.0676667356563776,1.0,0.03830510666296481,-0.0676667356563776,1.0
ENSG00000230368,FAM41C,0.021882574154077246,-0.5814924775410208,0.1831117102338438,0.0322111124211295,0.5814924775410208,0.1831117102338438
ENSG00000272438,AL645608.6,0.0018936843017951462,0.27411761312380456,1.0,0.0008705706059764729,-0.27411761312380456,1.0
ENSG00000230699,AL645608.2,0.00042081873373225475,-0.4628479810424011,1.0,0.0,0.4628479810424011,1.0
ENSG00000223764,LINC02593,0.0010520468343306368,0.5371520189575989,0.7716228497851754,0.0,-0.5371520189575989,0.7716228497851754
ENSG00000187634,SAMD11,0.016411930615557936,2.255970266413545,0.001282679722331133,0.0026117118179294187,-2.255970266413545,0.001282679722331133
ENSG00000188976,NOC2L,0.3490691396309053,0.8612544850792971,0.004213006677344509,0.19152553331482405,-0.8612544850792971,0.004213006677344509
ENSG00000187961,KLHL17,0.020409708586014354,0.39697436090933813,0.6936706811050816,0.014799700301600039,-0.39697436090933813,0.6936706811050816
ENSG00000187583,PLEKHN1,0.0012624562011967642,-2.562383654593316,0.010235341631894228,0.007835135453788257,2.562383654593316,0.010235341631894228
ENSG00000187642,PERM1,0.002945731136125783,1.8590801138449606,0.1717020235608148,0.0,-1.8590801138449606,0.1717020235608148
ENSG00000272512,AL645608.7,0.005891462272251566,-1.1898294866359862,0.1200395668535649,0.013058559089647094,1.1898294866359862,0.1200395668535649
